Material Entity,Social Relation,Sentence
idol,bridegroom,"In Madras, at the annual festival of Egatta, the goddess of the Black,54 now George, Town, when a tāli is tied round the neck of the idol in the name of the entire community, a Parēyan is chosen to represent the bridegroom."
image,goddess,"In commemoration of this story, a handful of growing paddy (rice) is pulled up every year at the Dasara festival, and, eight days later, the earth adhering to its roots is mixed with turmeric and milk, made into an image of the goddess, and hidden under the avirēni pot."
image,goddess,"The goddess being confined within the earth, no shrine is erected to her, and she is not represented by an image."
image,goddess,"The chief sea goddess of the Vādas seems to be Orusandiamma, whose image must be made out of the wood of the nīm (Melia Azadirachta) tree."
image,potter,"Borne on the shoulders of the potter, the image is then taken through the streets of the village, Bynēnivādu and Asādivandlu dancing and capering all the way, and the streets being drenched with the blood of several rams sacrificed at every turning of the road, and strewed with hundreds of limes cut and thrown away."
image,goddess,"The goddess has no image, but is supposed to appear from the surface of the ground, and to glitter like the comb of a cock."
image,goddess,"After the sacrifice has been made, those assembled prostrate themselves before the image for some time in silence, after which they go outside for a minute or two, and then, returning, divide the goddess, and eat it."
image,goddess,"The sword then shakes itself for fifteen minutes, until the chief priest stays its agitation by sprinkling on it some tirtam fluid made sacred by having been used for anointing the image of the goddess."
image,goddess,"This goddess is always placed in the north-east corner of the house, called the god’s corner, which has been previously cleaned, and an image of Hanumān, or some other deity, is drawn with rice-powder on the floor."
image,goddess,"According to another tradition, when they left Madura, they carried with them on their back the image of the goddess Mīnākshi, and brought it to Nēriyamangalam."
image,bride,"Incense and lights were then carried round the image, and the old man announced that the marriage would be auspicious, and blessed the bride and bridegroom and the assembled Gollas."
image,devotee,"The devotee who consents to undergo this ceremony dances in front of an image or representation of the goddess, and, when he is worked up to the proper pitch of frenzy, a metal wire is passed through the middle of his tongue."
image,carpenter,"The wooden image, made by the carpenter, is also brought in with the same formalities, and placed by the side of the image of clay."
image,goddess,"There the image of the goddess is duly worshipped, and a quantity of raw rice is tied round it with a cloth."
image,son,The image is set on fire by his son or nephew.
image,son,"Two inscriptions7 on the sides of the same slab state that this image of Bāhubalin or Gummata Jinapati was set up by a chief named Vîra-Pândya, the son of Bhairava, in A.D. 1431–32."
image,goddess,"They then bring forward a chicken and try to persuade it to eat some of the grains they have thrown down before the image, requesting the goddess to inform them whether she will leave their village or not."
image,goddess,"In front of the temple was a booth containing the image of the goddess Bhadrakāli, a cruel deity, who is supposed to delight in blood."
image,goddess,"When the villages have determined to appease this dread goddess, they erect a pandal (booth) outside their village under a nīm (Melia Azadirachta) tree, search all round for the soft earth of a white-ant heap, and proceed at once to mould this earth into the form of an image of a woman, tie a cloth or two round her, hang a few peacock’s feathers around her neck, and place her under the pandal on a three-legged stool, which has been made of the wood of Cochlospermum Gossypium (silk-cotton tree) for the occasion."
image,goddess,"At the Ilavar temple near Chākki in the outskirts of Trevandrum, the goddess Bhadrakāli is represented as a female seated on an image, having two wings, gilt and covered with serpents."
image,inmate,"The next morning the pandal and its inmate are removed to a site still farther away from the village, after which the fowl is killed over the image, on which some drops of blood are allowed to fall."
image,tailor,"A silver image of a female, seated tailor-fashion, is kept by the head of the family, and is an heirloom."
image,weaver,"On other occasions, when a weaver wants to pray, he calls in a Satanana, who reads something in an unknown language, and gives the votary some holy water, which he consecrates by pouring it on the head of a small image that he carries about for the purpose.”"
image,sage,"Within the precincts of the temple, he raised his hands aloft, proclaiming that Vishnu was the supreme God, when, to the consternation of the assembled worshippers, Nandi, the trusted servant and vehicle of Siva, whose sculptured image is found in every temple sacred to his master, rose up in indignation, and cut off the right hand of the blasphemous sage."
image,nephew,The image is set on fire by his son or nephew.
image,son,"The image, and the remainder of the food made up into four balls, are then carried by the son to a tank (pond)."
image,goddess,"The devotee who consents to undergo this ceremony dances in front of an image or representation of the goddess, and, when he is worked up to the proper pitch of frenzy, a metal wire is passed through the middle of his tongue."
image,son,"The eldest son, taking a portion of the cooked rice, spreads it on a leaf in front of the clay image, before which incense is burnt, and a lamp placed."
image,goddess,"In an account of a festival, during times of epidemic, at Masulipatam, Bishop Whitehead writes as follows.11 “On the last day, a male buffalo, called Dēvara potu (he who is devoted to the goddess), is brought before the image, and its head cut off by the head Mādiga of the town."
image,sage,"According to Suchindra Mahatmyam, eleven Brāhmans were ordered by Parasu Rāma to partake of the remnants of the food offered to Siva, and to bear the Saivite image in procession round the shrine on occasions of festivals; and, according to the Vaikam Sthalapurānam, three families of Sivadvijas were brought over by the same sage from eastern districts for service at that temple."
image,washerman,The image is usually in the custody of a Tsākala (washerman).
image,chief,"At Suchindram, the Nambūtiri by whom the chief image is served is not privileged to give prāsada (remains of offerings) to any worshipper, this privilege being confined to the Mūttatus engaged to serve the minor deities of the shrine."
image,headman,"The headman of the Kumbakōnam section lives in the Periyakulam tāluk of the Madura district, and, by his order, an image of Siva is worshipped at their homes.  "
image,daughter,"The Brāhman immediately set out for that capital, and on arrival found that the King had made a present of the image to his daughter, for it is said to be very handsome, and she asked for it as a plaything."
image,priest,"The priest receives a fee for his services, which he places before an image made on the grave after it has been filled in."
image,chief,"Two inscriptions7 on the sides of the same slab state that this image of Bāhubalin or Gummata Jinapati was set up by a chief named Vîra-Pândya, the son of Bhairava, in A.D. 1431–32."
image,priest,"While this is going on, all the men who have taken vows to be married to the deity appear before his image dressed like women, make obeisance, offer to the priest (who is a Palli by caste) a few annas, and give into his hands the tālis (marriage badges) which they have brought with them."
image,headman,My information is that the headman of the Mukkuvans opens the festival by solemnly making a fæcal deposit on the image.
image,enemy,"They resort to various methods, of which the following are examples:— (1) Make an image in wax in the form of your enemy."
image,priest,"On this occasion they build a shed, under which they place the image, and one of the tribe officiates as priest or pujāri."
image,priest,"The wild elephants found the body, and reverently took it where friends might discover it, and, a plague of small-pox having attacked the Chōgans, another oracle declared it was sent by Sāstāvu (the Travancore hill boundary god, called also Chāttan or Sāttan) in anger at the crime that had been committed; and that the evil would not abate until the murderers made an image of the dead priest, and worshipped it."
image,consort,"On the following day, i.e., on the first day of the dark fortnight, they worship in the same temple an image of Siva and his consort Parvati seated on the sacred bull made of earth and painted."
image,priest,"When a temple is built, there is a preliminary rite known as anujgna, when the temple priest transfers spiritual force from the image, after which a cow and calf are taken thrice round the temple, and the Kanakkan is invited to enter within for the purposes of work."
image,priest,"The temple priest places the cloths and the tāli at the feet of the image, and sets apart one for the divine use."
image,offspring,"A vow is made by one desiring offspring, to have his hand or leg cured, to have an ulcer cured, to fulfil any desire whatsoever, and he decides in solemn affirmation to himself to give a silver image of a child, a silver leg, and so on, in the event of his having fulfilment of his desire."
image,child,"A vow is made by one desiring offspring, to have his hand or leg cured, to have an ulcer cured, to fulfil any desire whatsoever, and he decides in solemn affirmation to himself to give a silver image of a child, a silver leg, and so on, in the event of his having fulfilment of his desire."
image,priest,"The sword then shakes itself for fifteen minutes, until the chief priest stays its agitation by sprinkling on it some tirtam fluid made sacred by having been used for anointing the image of the goddess."
image,enemy,"Then burn the image with due rites, and it shall slay your enemy in a fortnight."
image,priest,"Another purificatory ceremony is performed, after which the image is handed over to a priest at the temple, with a rupee or two."
image,chief,"The sword then shakes itself for fifteen minutes, until the chief priest stays its agitation by sprinkling on it some tirtam fluid made sacred by having been used for anointing the image of the goddess."
image,servant,"Within the precincts of the temple, he raised his hands aloft, proclaiming that Vishnu was the supreme God, when, to the consternation of the assembled worshippers, Nandi, the trusted servant and vehicle of Siva, whose sculptured image is found in every temple sacred to his master, rose up in indignation, and cut off the right hand of the blasphemous sage."
image,chief,"The chief sea goddess of the Vādas seems to be Orusandiamma, whose image must be made out of the wood of the nīm (Melia Azadirachta) tree."
image,king,"On the first day, the image of the deified king is anointed with water, and a mixture of the juices of the mango, jāk (Artocarpus integrifolia), and plantain, called muppala pūjai."
image,king,"Here they resided for some time, and then seventy-two families, seeking fresh fields and pastures new, proceeded to Kērala, and presented an image of Krishna, which they had brought from northern India to the reigning king Mahārāja Udaya Martanda Varma."
image,founder,"The nandidhvajam consists of a long pole, at the upper end of which floats a flag with a representation of Nandi, and to which is affixed an image of Basava, the founder of the sect."
image,master,"Within the precincts of the temple, he raised his hands aloft, proclaiming that Vishnu was the supreme God, when, to the consternation of the assembled worshippers, Nandi, the trusted servant and vehicle of Siva, whose sculptured image is found in every temple sacred to his master, rose up in indignation, and cut off the right hand of the blasphemous sage."
image,bridegroom,"Incense and lights were then carried round the image, and the old man announced that the marriage would be auspicious, and blessed the bride and bridegroom and the assembled Gollas."
impression,carpenter,"A wooden plank is furnished by the carpenter, and an impression of the foot of the deceased smeared with sandal paste is made on it."
impression,attendant,"This, with the attendant drums and shrieks, would give one the impression of a host of maniacs suddenly set at liberty."
incense,wife,"The two great toes are tied together, whilst the wife and sons burn incense at the head of the corpse."
incense,wife,"On Agni doing this, Parvati became very indisposed, and Paramēswara, distressed at seeing his wife rolling in agony, shed tears, one of which fell on the ground, and became turned into a man, who, being divinely born, detected the cause of Parvati’s indisposition, and, asking for some incense, sprinkled it over a blazing torch."
incense,son,"After the grave has been filled in, the fire carried by the son is placed at the head of the grave, and incense is burnt."
incense,weaver,"The weaver sets up his loom, and worships it by offering incense, and other things."
incense,son,"The eldest son, taking a portion of the cooked rice, spreads it on a leaf in front of the clay image, before which incense is burnt, and a lamp placed."
incense,carpenter,"The carpenter, who is the architect and builder of the house, then performs pūja with flowers, incense and lights, and the troublesome imp-spirit Gulikan is propitiated with toddy and arrack, and a fowl which is decapitated for him."
incense,architect,"The carpenter, who is the architect and builder of the house, then performs pūja with flowers, incense and lights, and the troublesome imp-spirit Gulikan is propitiated with toddy and arrack, and a fowl which is decapitated for him."
incense,goddess,"The observance consists in offering to the goddess 21 karjikayi, 21 whole areca nuts, 21 betel nuts, 21 bits of turmeric, 21 chendu flowers, 21 tumbe huvvu, a silk string with 21 threads and 21 knots, a cocoanut kernel, a date fruit, kunkuma, a cocoanut, bukkittu and incense, in a winnowing fan specially made with 21 fastenings."
incense,bride,"The bridegroom’s father waves incense in front of the cot and brass vessel, and hands over the gindi, and other articles, to the bridegroom’s sister, to be taken to the bride."
incense,bridegroom,"The bridegroom’s father waves incense in front of the cot and brass vessel, and hands over the gindi, and other articles, to the bridegroom’s sister, to be taken to the bride."
incense,sister,"The bridegroom’s father waves incense in front of the cot and brass vessel, and hands over the gindi, and other articles, to the bridegroom’s sister, to be taken to the bride."
incense,potter,"On arriving at the potter’s house, the required pots are placed in a row outside, and a cocoanut, which has been held in the smoke of the incense, is broken into two equal parts, the two halves being placed on the ground about a yard apart."
incense,father,"The bridegroom’s father waves incense in front of the cot and brass vessel, and hands over the gindi, and other articles, to the bridegroom’s sister, to be taken to the bride."
incense,priest,"At an auspicious hour, the priest and the Vāriyar youth put on the tattu dress, or dress worn for ceremonial purposes, and worship a pot full of water with incense and flowers, the contents of which are then poured by the priest over the youth."
incense,priest,"Once a year, Vannāns come dressed in fancy costume, with crowns on their heads, and dance round the courtyard to the sound of music and tom-toms, while a Tiyan priest presents the family offerings, uncooked rice and young cocoanuts, with camphor and incense, and then rice fried with sugar and ghī (clarified butter).”"
incense,priest,"The Zanee (or priest), who may be of any caste, officiates at the sacrifice, but he performs the poojah (offering of flowers, incense, etc.) to the idol through the medium of the Toomba, who must be a Khond child under seven years of age."
incense,child,"The Zanee (or priest), who may be of any caste, officiates at the sacrifice, but he performs the poojah (offering of flowers, incense, etc.) to the idol through the medium of the Toomba, who must be a Khond child under seven years of age."
incense,child,"As soon as the child is born, incense is burnt in front of this hut, and there is an offering of jaggery (crude sugar) to the spirits of the departed elders, who are invoked in the following words in the Korava dialect:—‘Ye spirits of our elders!"
income,expert,"They further add to their income by singing songs, at which they are very expert."
income,chief,"Those captains obtained from the fisheries each time a profit of 6,000 rix-dollars for the king, leaving the remainder of the income from them for the Paravas; but, seeing they could not retain their superiority in that manner over the people, which was becoming rich, luxurious, drunken, with prosperity, and with the help of the priests, who protected them, threatening the captains, which often occasioned great disorders, the latter determined to build a fort for the king at Tutucoryn, which was the chief place of all the villages; but the priests who feared by this to lose much of their consequence as well as of their revenue, insisted that, if such a measure was proceeded with, they would all be ruined, on which account they urged on the people to commit irregularities, and made the Paravas fear that the step was a preliminary one to the making all of them slaves; and they therefore raised such hindrances to the work that it never could be completed."
income,chief,"The chief sources of income are the pāvādam and kattalai (heaps of cooked rice piled up or spread on a board), which are offered to the god."
income,saint,"The Jacobites observe the ordinary festivals of the church; the day of the patron saint of each church is celebrated with special pomp, and on the offerings made on that day the priests largely depend for their income."
income,witness,"One witness stated that there were forty dancing-girls’ houses in the town (Adōni), and that their chief source of income was prostitution, and that the dancing-girls, who have no daughters of their own, get girls from others, bring them up, and eventually make them dancing-girls or prostitutes."
income,barber,"The primary occupation of the barber does not always bring in a sufficient income, while it leaves him a large amount of leisure."
income,patron,"The Jacobites observe the ordinary festivals of the church; the day of the patron saint of each church is celebrated with special pomp, and on the offerings made on that day the priests largely depend for their income."
income,chief,"One witness stated that there were forty dancing-girls’ houses in the town (Adōni), and that their chief source of income was prostitution, and that the dancing-girls, who have no daughters of their own, get girls from others, bring them up, and eventually make them dancing-girls or prostitutes."
income,king,"Those captains obtained from the fisheries each time a profit of 6,000 rix-dollars for the king, leaving the remainder of the income from them for the Paravas; but, seeing they could not retain their superiority in that manner over the people, which was becoming rich, luxurious, drunken, with prosperity, and with the help of the priests, who protected them, threatening the captains, which often occasioned great disorders, the latter determined to build a fort for the king at Tutucoryn, which was the chief place of all the villages; but the priests who feared by this to lose much of their consequence as well as of their revenue, insisted that, if such a measure was proceeded with, they would all be ruined, on which account they urged on the people to commit irregularities, and made the Paravas fear that the step was a preliminary one to the making all of them slaves; and they therefore raised such hindrances to the work that it never could be completed."
income,officer,"One Tahsildar (revenue officer) asked himself why the Āndi’s income should not be liable to income-tax, and the Āndis were collectively assessed."
indigo,bridegroom,"The parents of the bridegroom present their daughter-in-law with new clothes, but these must not have any indigo in them."
indigo,daughter,"The parents of the bridegroom present their daughter-in-law with new clothes, but these must not have any indigo in them."
instrument,priest,"As he does so, the priest pricks the pot thrice with an iron instrument."
instrument,gardener,"Living an isolated existence, confined within the thinly-populated jungle, where Nature furnishes the means of obtaining all the necessaries of life, the Kādir possesses little, if any, knowledge of cultivation, and objects to doing work with a māmuti, the instrument which serves the gardener in the triple capacity of spade, rake, and hoe."
instrument,bridegroom,"A turmeric-dyed string or garland is then placed round the bride’s neck by the bridegroom’s sister, while the conch shell (musical instrument), is blown."
instrument,sister,"A turmeric-dyed string or garland is then placed round the bride’s neck by the bridegroom’s sister, while the conch shell (musical instrument), is blown."
instrument,mother,"They exchange cocoanuts and garlands, and, amid the blowing of the conch shell (musical instrument) by women, the bride’s mother touches the couple with turmeric, ashes, sandal, etc."
instrument,bride,"A turmeric-dyed string or garland is then placed round the bride’s neck by the bridegroom’s sister, while the conch shell (musical instrument), is blown."
instrument,adversary,"This instrument, properly placed, would enable a man of ordinary strength to cleave open the head of his adversary at a blow; but, the fingers being introduced through the weapon, it is fastened across them at an equal distance between the first and second lower joints, in a situation, it will be observed, which does not admit of attempting a severe blow, without the risk of dislocating the first joints of all the fingers."
instrument,dāsis,"The main occupations of the Tinnevelly Panisavans are playing in temples on the nāgasaram (reed instrument), and teaching Dēva-dāsis dancing."
instrument,infant,"If the operator has to deal with babies, he presses the instrument against a wet rag before applying it to the infant’s skin."
instrument,infant,"If the operator has to deal with babies, he presses the instrument against a wet rag before applying it to the infant’s skin."
instrument,operator,"If the operator has to deal with babies, he presses the instrument against a wet rag before applying it to the infant’s skin."
instrument,operator,"If the operator has to deal with babies, he presses the instrument against a wet rag before applying it to the infant’s skin."
instrument,bride,"On the way to the bride’s house, two of the women blow chank shells (musical instrument)."
instrument,bride,"They exchange cocoanuts and garlands, and, amid the blowing of the conch shell (musical instrument) by women, the bride’s mother touches the couple with turmeric, ashes, sandal, etc."
iron,bridegroom,An unusual item in their wedding ceremonies is the tying of an iron ring to the bridegroom’s wrist.
iron,bridegroom,"At night the wrist-threads (kankanam), made of black and white wool, with turmeric root and iron ring tied on them, are placed round the wrists of the bride and bridegroom."
iron,bridegroom,"In the North Arcot Manual it is stated that the Bōya bride, “besides having a golden tāli tied to her neck, has an iron ring fastened to her wrist with black string, and the bridegroom has the same."
iron,master,"The disciples were unable to imitate their master in the matter of the red-hot iron, and besought him to forgive their presumption in having dared to imitate him in partaking of forbidden food."
iron,priest,"As he does so, the priest pricks the pot thrice with an iron instrument."
iron,blacksmith,"The blacksmith is employed in the manufacture of locks and keys, and ornamental iron and brasswork for the houses of the rich."
iron,bride,"At night the wrist-threads (kankanam), made of black and white wool, with turmeric root and iron ring tied on them, are placed round the wrists of the bride and bridegroom."
iron,blacksmith,"The blacksmith of the tara brings a little stick, called charathkot, with an iron blade at one end, which is supposed to represent an arrow of Kāma."
iron,blacksmith,"Sankarāchārya went to a blacksmith’s furnace, and begged from him some red-hot iron, which he swallowed and was purified."
iron,blacksmith,"Sankarāchārya went to a blacksmith’s furnace, and begged from him some red-hot iron, which he swallowed and was purified."
iron,bride,"In the North Arcot Manual it is stated that the Bōya bride, “besides having a golden tāli tied to her neck, has an iron ring fastened to her wrist with black string, and the bridegroom has the same."
iron,child,"The out-caste woman, who may not at other times be touched, gives the child suck, puts on it her iron bracelets, and, if a boy, names it Koragar, if a girl, Korāpulu."
iron,child,"On the fifth and eighth days after the birth of a child, a new cloth is spread on the floor, on which the infant is placed, with a book (bāgavatham) close to its head, and an iron rod, such as is used by Oriya castes for branding the skin of the abdomen of newly-born babies, at its side."
iron,bride,"He goes to a basket filled with earth, carrying the iron bar of a ploughshare, an ox-goad, and rope, accompanied by the bride carrying in her lap seeds or seedlings."
iron,master,"The disciples were unable to imitate their master in the matter of the red-hot iron, and besought him to forgive their presumption in having dared to imitate him in partaking of forbidden food."
iron,accountant,"As soon as an individual was made a Menon, he was presented with an ola (palmyra leaf for writing on) and an iron style as symbols of the office of accountant, which he was expected to fill."
iron,bridegroom,"The presents to the bridegroom include a mundu and neriyatu, the ordinary Malabar dress, and very often an iron writing-style and knife."
iron,baby,"The goldsmith is in attendance with a string of five beads (mani or kuzhal) made of the panchaloham or five metals, gold, silver, iron, copper and lead, which the father ties round the baby’s waist."
iron,sister,"At the threshold, her future husband’s sister is standing, and averts the evil eye by waving betel leaves, plantains, cocoanuts, cooked flour paste (puttu), a vessel filled with water, and an iron measure containing rice with a style (ambu) stuck in it."
iron,goddess,"The Mādigas bring a bent iron rod with a cup at one end, and twigs of Vitex Negundo to represent the goddess, to whom goats are sacrificed."
iron,husband,"At the threshold, her future husband’s sister is standing, and averts the evil eye by waving betel leaves, plantains, cocoanuts, cooked flour paste (puttu), a vessel filled with water, and an iron measure containing rice with a style (ambu) stuck in it."
iron,barber,"The barber then dips the iron lamp in the water, and picks out the money as his perquisite."
iron,expert,"A man was introduced to us as an expert mimic of the note of the paroquet, peacock, jungle-fowl and other forest birds; and a small party improvised, in front of the bungalow, a bird trap cleverly constructed out of stones, an iron plate from the camp kitchen, bamboo, and rope made on the spot from the bark of Ficus Tsiela."
iron,father,"The goldsmith is in attendance with a string of five beads (mani or kuzhal) made of the panchaloham or five metals, gold, silver, iron, copper and lead, which the father ties round the baby’s waist."
iron,son,"The eldest son now lights a wick from the iron lamp which is about to be extinguished, and with it lights a lamp in the middle room."
iron,enemy,"Telling me to wait outside the jumble of rocks, each man took off his turban, wound it round his left forearm, to act as a shield against attacks from the bear, lit a rude torch, grasped his long iron-headed spear, and coolly walked into the inky blackness of the enemy’s stronghold, to turn him out for me to shoot at."
iron,accountant,"As soon as a person was made a Mēnōn, he was presented with an ōla (palmyra leaf for writing on) and an iron style, as symbolical of the office he was expected to fill, i.e., of an accountant."
iron,son,"As soon as an individual dies, the son goes three times round the corpse, carrying an iron measure (marakkal), wherein a lamp rests on unhusked rice."
iron,goldsmith,"The goldsmith is in attendance with a string of five beads (mani or kuzhal) made of the panchaloham or five metals, gold, silver, iron, copper and lead, which the father ties round the baby’s waist."
iron,babe,The babe is washed with water brought from a stream; marked on the forehead with sacred ashes; a turmeric-dyed thread is tied round its waist; a silver or iron bangle placed on its wrists; and a silver bead tied by a thread round its neck.
iron,son,"It was noted by Harkness that, at the burning-ground, the son or representative of the deceased dropped a little grain into the mouth of the corpse, carrying in his left hand a small bar of iron, which is supposed to have a repulsive power over the spirits that hover about the dead.  "
iron,accountant,"As soon as a person was made a Mēnōn, he was presented with an ōla (palmyra leaf for writing on) and an iron style, as symbolical of the office he was expected to fill, i.e., of an accountant."
iron,infant,"On the fifth and eighth days after the birth of a child, a new cloth is spread on the floor, on which the infant is placed, with a book (bāgavatham) close to its head, and an iron rod, such as is used by Oriya castes for branding the skin of the abdomen of newly-born babies, at its side."
ivory,witness,"It is noted by Mr. M. J. Walhouse5 that “an eye-witness has recorded the stately and solemn spectacle of his funeral, when, magnificently arranged, and loaded with the costliest jewels, his body, placed in an ivory palanquin, was borne by night through the torchlit streets of his royal city amid the wail of vast multitudes lamenting the last of their ruling race."
ivory,expert,"They are also expert ivory-carvers, and it has been suggested that they may be distantly connected with the Kondikars, or ivory-carvers of Bengal."
ivory,child,"Their dress is peculiar, and their ornaments are so singularly chosen that we have, we are confident, seen women who (not to mention a child at their backs) have had eight or ten pounds weight in metal or ivory round their arms and legs."
ivory,chief,"The designs employed both in the etching and fret-work are stiff, and suited rather to work in metal than in ivory; and the chief merit of this Vizagapatam work perhaps lies in its careful finish—a rare quality in Indian objects of art."
jacket,bride,"On the wedding day, the bridegroom goes, accompanied by his party, to the house of the bride, taking with him a new cloth, a female jacket, and a string of black beads with a small gold ornament."
jacket,bridegroom,"On the wedding day, the bridegroom goes, accompanied by his party, to the house of the bride, taking with him a new cloth, a female jacket, and a string of black beads with a small gold ornament."
jaggery,pūjāri,"The pūjāri does pūja to the milk-posts by offering sugar-cane, jaggery (crude sugar), etc., and ties two threads thereto."
jaggery,widower,"A second buffalo, which, properly speaking, should have been slain before the corpse was burnt, was then sacrificed, and rice and jaggery were distributed among the crowd, which dispersed, leaving behind the youthful widower and his custodians, who, after daybreak, partook of a meal of rice, and returned to their mands; the boy’s mother taking with her the skull and hair to her mand, where it would remain until the celebration of the second funeral."
jaggery,father,"Asafœtida, jaggery, and other articles are then given, not to the mother, but to the father."
jaggery,child,"After the ceremony is over, the parents of the child’s mother have to send about half a bag of rice flour mixed with jaggery to her husband’s house."
jaggery,mother,"Asafœtida, jaggery, and other articles are then given, not to the mother, but to the father."
jaggery,mother,"After the ceremony is over, the parents of the child’s mother have to send about half a bag of rice flour mixed with jaggery to her husband’s house."
jaggery,mother,"Slowly the procession came over the brow of the hill; the corpse, covered by a cloth, on a rude ladder-like bier, borne on the shoulders of four men, followed by two Kota musicians; the mother carried hidden within a sack; relatives and men carrying bags of rice and jaggery, and bundles of wood of the kiaz tree (Eugenia Arnottiana) for the funeral pyre."
jaggery,mother,"The mother of the dead child then withdrew one of its hands from the putkūli, and the boy placed the grass and twig in the hand, and limes, plantains, rice, jaggery, honey-comb, and butter in the pocket of the putkūli, which was then stitched with needle and thread in a circular pattern."
jaggery,mother,"A second buffalo, which, properly speaking, should have been slain before the corpse was burnt, was then sacrificed, and rice and jaggery were distributed among the crowd, which dispersed, leaving behind the youthful widower and his custodians, who, after daybreak, partook of a meal of rice, and returned to their mands; the boy’s mother taking with her the skull and hair to her mand, where it would remain until the celebration of the second funeral."
jaggery,son,"At the time of the first Pongal feast after the marriage, the presents customarily given to the son-in-law are five markāls of rice, five loads of pots and pans, five bunches of plantains, five cocoanuts, and five lumps of jaggery (crude sugar)."
jaggery,son,"After this, the eldest son, the Tandān, and a neighbour, sit on a mat spread in the middle of the house, and formally partake of conjee and jaggery."
jaggery,child,"To this the Puramalai section has a strong objection, as, from the time of marriage, they have to give annually till the birth of the first child a present of fowls, rice, a goat, jaggery, plantains, betel, turmeric, and condiments."
jaggery,child,"As soon as the child is born, incense is burnt in front of this hut, and there is an offering of jaggery (crude sugar) to the spirits of the departed elders, who are invoked in the following words in the Korava dialect:—‘Ye spirits of our elders!"
jaggery,child,"It must be remembered that the child is not fed on rice for some time after birth, the practice being to give it flour of dried plantain boiled with jaggery (crude sugar)."
jaggery,child,"Meanwhile a near female relative of the dead child was busily engaged inside the hut, collecting together in a basket small measures of rice, jaggery, sago, honey-comb, and the girl’s simple toys, which were subsequently to be burned with the corpse."
jaggery,child,"The mother of the dead child then withdrew one of its hands from the putkūli, and the boy placed the grass and twig in the hand, and limes, plantains, rice, jaggery, honey-comb, and butter in the pocket of the putkūli, which was then stitched with needle and thread in a circular pattern."
jaggery,nomad,"As regards names for specific occupations among the Koravas, the Bīdar or nomad Koravas originally carried merchandise in the form of salt, tamarinds, jaggery (crude sugar or molasses), leaves of the curry leaf plant (Murraya Kœnigii) from place to place on pack-bullocks or donkeys."
jaggery,father,"The father of the groom takes with him as a present for the bride a bodice, fried dal (pea: Cajanus indicus), cocoanut, rice, jaggery, turmeric, dates, ghī, etc."
jaggery,brother,"His brother-in-law, or other male relation of the bride, goes in search of him, and, when he has found him, rubs some jaggery over his face, and brings him back.”"
jaggery,bride,"When the cocoanut and jaggery are given, they must be in strips, and put into the bride’s mouth partly projecting."
jaggery,husband,"After the ceremony is over, the parents of the child’s mother have to send about half a bag of rice flour mixed with jaggery to her husband’s house."
jaggery,daughter,"As soon as a young man’s parents think it is time that he should get married, they set out, with some sweets and jaggery (crude sugar), for the house of the paternal aunt, where the hand of her daughter is asked for."
jaggery,husband,"In the ninth month, the husband’s sister presents his wife with a couple of pounds of cummin seed and jaggery."
jaggery,infant,"The jaggery is then distributed to all present, and the new-born infant is cleaned with cow-dung and washed."
jaggery,goddess,"On the third day, called pānaka pūja or mahānēvedyam, jaggery water is offered, and cocoanuts, and other offerings are laid before the goddess."
jaggery,bride,"The purōhit rubs a little jaggery over the bridegroom’s right palm, joins it to the palm of the bride, and ties their two hands together with a rope made of kusa grass (hasthagonti)."
jaggery,bride,"His brother-in-law, or other male relation of the bride, goes in search of him, and, when he has found him, rubs some jaggery over his face, and brings him back.”"
jaggery,neighbour,"After this, the eldest son, the Tandān, and a neighbour, sit on a mat spread in the middle of the house, and formally partake of conjee and jaggery."
jaggery,bride,"They then play seven times with cowry shells, and the ceremonial closes with the throwing of Zizyphus leaves, and the eating by the bride and bridegroom of rice mixed with jaggery (crude sugar) and curds."
jaggery,convert,"Whereupon, the above-mentioned person told him that a palm tree, which grew in his (Moidīn’s) compound, would yield sufficient toddy, which he could convert into jaggery (crude sugar), and thus maintain himself."
jaggery,bride,"At the entrance, the maternal uncle of the bride stands holding in his crossed hands two vessels, one of which contains water, and the other water with jaggery (crude sugar) dissolved in it."
jaggery,bride,"The bridegroom places some cummin seed and jaggery (crude sugar) on the bride’s head, and the bride does the same to the bridegroom."
jaggery,bride,"The father of the groom takes with him as a present for the bride a bodice, fried dal (pea: Cajanus indicus), cocoanut, rice, jaggery, turmeric, dates, ghī, etc."
jaggery,aunt,"As soon as a young man’s parents think it is time that he should get married, they set out, with some sweets and jaggery (crude sugar), for the house of the paternal aunt, where the hand of her daughter is asked for."
jaggery,bridegroom,"The purōhit rubs a little jaggery over the bridegroom’s right palm, joins it to the palm of the bride, and ties their two hands together with a rope made of kusa grass (hasthagonti)."
jaggery,wife,"In the ninth month, the husband’s sister presents his wife with a couple of pounds of cummin seed and jaggery."
jaggery,bridegroom,"They then play seven times with cowry shells, and the ceremonial closes with the throwing of Zizyphus leaves, and the eating by the bride and bridegroom of rice mixed with jaggery (crude sugar) and curds."
jaggery,messenger,"When the messenger goes, he must carry with him dal, jaggery, sugar-candy, etc."
jaggery,uncle,"At the entrance, the maternal uncle of the bride stands holding in his crossed hands two vessels, one of which contains water, and the other water with jaggery (crude sugar) dissolved in it."
jaggery,barber,"The barber is required to eat some jaggery, and drink some conjee."
